ID,Date,Time,TTC,LogTTC,Contamination,TLF,Type,Repeat,x,y,PopDensity,Nitrates,Phosphates,Conductivity,pH,Temperature,Salinity,Turbidity,FC,LogFC,CDOM,Sanitation,SepticTank,SoakPit,Latrines,Cattle,Trash,Cultivation,Construction,Road,Petrol station,Drainage channel,Fence,Apron area,Pump insanitary,CracksLoose,TotalRisk,DistanceToCemetery,DistanceToFarm,DistanceToIndustry,DistanceToLandfill,DistanceToRoads,GCNOM_1,TLFuncalibrated,PopDensity,superficie
79,29/06/2018,09:00,97000,4.9868,1,26.683,1,1,238698.73,1632417.44,245.46,142.6,0.17,2460,8.07,29.4,1.26,11.4,99245,4.996708636,33.18,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8,1826.3072,141.7553,300.1078,1071.0051,6.3785,Golf Sud,23.919,245.46,400
80,29/06/2018,09:30,325,2.5119,1,13.541,1,0,244791.84,1631189.45,125.98,179.18,1.95,1224,8.63,29.4,6.62,5.9,NA,NA,35.73,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1521.7952,1391.9383,1461.4774,3035.4264,18.0066,Thiaroye Sur Mer,11.312,125.98,400
81,29/06/2018,10:30,2600,3.415,1,60.966,3,5,246272.44,1631929.51,61.04,27.9,0.13,2970,9.37,25.3,1.54,8.7,1000000,6,200,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,176.137,1593.0781,746.1008,3417.3079,20.7322,Diamaguene Sicap Mbao,56.807,61.04,700
82,29/06/2018,11:00,15200,4.1818,1,51.879,3,6,246273.62,1632587.04,61.04,132.06,0.23,2040,9.4,26.8,1.04,8,1000000,6,116.04,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,5,334.7606,1681.7999,1237.5649,3076.1557,9.4125,Diamaguene Sicap Mbao,48.09,61.04,700
83,29/06/2018,11:30,85,1.9294,1,36.517,1,0,247982,1633711,39,22.32,1.16,2950,8.4,29.6,1.52,26.6,57401,4.758919458,25.49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,367.2437,650.4616,1794.0442,3150.4702,3.6535,Keur Massar,33.353,39,2000
84,29/06/2018,12:30,26,1.415,1,60.28,1,8,245626.74,1633813.97,537.14,50.84,5.61,1790,7.8,32.2,0.9,21.3,215273,5.332989563,143.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,356.535,1376.1162,2016.527,2114.2161,15.9142,Yeumbeul Sud,56.149,537.14,200
85,29/06/2018,13:00,3200,3.5052,1,43.392,2,7,245283.7,1633874.77,537.14,448.88,5.27,1790,7.8,32.2,0.9,21.3,306476,5.486396471,143.16,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,7,78.5039,1127.0495,1718.8317,1768.3432,0.012,Yeumbeul Sud,39.948,537.14,200
86,29/06/2018,14:00,70,1.8451,1,34.607,2,0,244971.01,1633984.23,537.14,390.6,0.03,1890,7.6,28.5,0.96,32.9,176397,5.246491195,99.54,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,296.6176,994.2611,1488.8783,1453.5012,8.3466,Yeumbeul Sud,31.521,537.14,200
87,29/06/2018,14:30,13700,4.1367,1,62.309,2,0,242519.38,1634153.33,233.51,117.18,0.16,2810,8.9,27.2,1.46,19.5,273285,5.436615795,145,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,4,1333.4451,698.5832,1464.6719,355.9217,19.664,Djidah Thiaroye Kaw,58.095,233.51,200
88,29/06/2018,15:00,22700,4.356,1,43.543,3,0,244101,1634117,233.51,4.34,0.36,2380,9,28.8,1.22,16.5,277405,5.443114285,44.72,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,792.7779,957.2037,974.374,601.9613,25.4164,Djidah Thiaroye Kaw,40.093,233.51,200
89,29/06/2018,15:30,5,0.699,0,24.358,1,2,244129.27,1636215.27,213.69,114.08,7.05,2570,8.9,29.2,1.33,7.6,35728,4.553008706,40.82,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,2624.1124,3027.7177,3009.9389,493.1423,10.2589,Wakhinane Nimzatt,21.689,213.69,400
90,03/07/2018,11:00,610,2.7853,1,51.686,1,0,244551.27,1635073.52,213.69,303.18,0.83,2360,8.2,28.1,1.21,9.5,897652,5.953108003,125.6,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1437.1232,1886.1543,2031.5506,1444.6948,0.173,Wakhinane Nimzatt,47.905,213.69,400
91,03/07/2018,11:30,1,0,0,53.863,2,16,242427.82,1634153.31,233.51,491.66,3.11,3170,8.1,28,1.65,13.3,365496,5.562882628,174.04,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,7,1409.726,607.0988,1535.768,433.889,2.8121,Djidah Thiaroye Kaw,49.993,233.51,200
92,03/07/2018,12:00,1,0,0,15.424,2,17,242479.57,1634076.27,233.51,31.62,1.76,1144,8.8,28.9,0.56,5.7,179109,5.253117409,61.51,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,9,1325.1957,660.2098,1447.8702,431.963,2.2726,Djidah Thiaroye Kaw,13.119,233.51,200
93,03/07/2018,12:30,1,0,0,38.403,2,18,243011.86,1633940.2,469.62,50.84,0.06,673,7.5,29.6,0.33,5.6,110940,5.045088162,124.3,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4,813.8581,1198.5487,963.3523,430.1479,8.2432,Medina Gounass,35.162,469.62,100
